time,x,y,z
14.278,-18.000018919873316,-17.913753547912954,0.7411004958708487
19.801,-17.55121922943282,-17.69246985369305,0.7354286573382701
20.31,-17.156806345928974,-17.38445975588142,0.7377434935593886
20.762,-16.794024556855035,-17.039430672948868,0.7384020812929566
21.604,-16.440862476228396,-16.68556184760487,0.7468770006052947
23.378,-16.001511271562663,-16.44619768280966,0.7411959432647928
23.855,-15.618157670005079,-16.12377674843088,0.7372335912389263
24.309,-15.26325335804757,-15.771470578556228,0.7374230937877875
25.928,-14.914865360889998,-15.41289986800526,0.7461688249347409
26.626,-14.552307754358239,-15.067892366773437,0.7386525472264418
27.047,-14.15597003942309,-14.762149974937882,0.7337579956189285
27.468,-13.733514208501095,-14.494347684480966,0.7352175121124798
28.05,-13.289816072156778,-14.263037921849204,0.7433248914792863
31.379,-13.387336688402485,-13.772159112410911,0.7450527469037661
31.888,-13.48620707615687,-13.281974434356101,0.7409477495592403
32.328,-13.506504133701117,-12.782302684412835,0.7388067452756191
32.894,-13.501300018921771,-12.281953338799852,0.7436746159680873
34.494,-13.50283352629773,-11.781147097689487,0.7402909286612074
34.984,-13.502126184881032,-11.280650418573602,0.7343809990697154
35.452,-13.501940344473287,-10.78032845085997,0.7362739959652446
36.053,-13.502004747080315,-10.280253061558893,0.7433701658996258
37.988,-13.500209002700808,-9.779511521730585,0.7397188293232205
38.48,-13.501068297116833,-9.279241484037389,0.7346334438086167
38.953,-13.501775920542205,-8.779227426858215,0.7368362425980559
39.558,-13.501965564615967,-8.279125228382783,0.7436819687004544
41.504,-13.499385191948921,-7.778863790680115,0.7412012176914548
41.986,-13.385351495624882,-7.29177186627072,0.7336877089540589
42.462,-13.131864406073667,-6.859750918471688,0.735420363446993
43.086,-12.777190209046514,-6.507235330442971,0.7422159251260209
46.32,-13.045049001662072,-6.084624446339961,0.7413648311915215
46.786,-13.4272206494895,-5.7613329093152235,0.7374902739327952
47.259,-13.769916008534535,-5.396934359529532,0.738970695958485
48.007,-14.020629544528973,-4.9642605488521,0.7461555498828805
49.777,-14.028580621797465,-4.464208954436435,0.7401236181925944
50.263,-14.013176413097828,-3.9636736185540458,0.7353448665888721
50.736,-14.005429405297205,-3.463530797966724,0.7370174786140705
51.437,-14.003076070231359,-2.963424944935383,0.745267105757174
54.222,-13.504819677477503,-2.9178397848811697,0.7405620444934198
54.717,-13.006433996265455,-2.960081374011435,0.7362088856484243
55.198,-12.50655458384191,-2.9862977747331736,0.7377473792082231
55.83,-12.006249845673578,-2.993999062426842,0.7443741779727289
57.559,-11.506021907528753,-3.001815365730043,0.7396745320586717
58.047,-11.005931431428134,-2.9999835514549176,0.734470789166867
58.518,-10.505052382144541,-2.998587944687511,0.7365448424385187
59.15,-10.004702938311734,-2.9982108972011066,0.7441928728601355
61.036,-9.504376454649023,-2.9996595043572998,0.7390360708053284
61.526,-9.003357198932658,-2.9988370124416175,0.7343539414810796
61.998,-8.502873508575721,-2.998182006902602,0.7366486450938103
62.633,-8.002854337582113,-2.9980474587132093,0.744317150433587
65.139,-7.616051512127774,-2.6797940082471765,0.7437783831557425
65.645,-7.212293742518293,-2.383381700876494,0.7394826168212916
66.125,-6.733611766917835,-2.2371020809219,0.7395947074113781
66.786,-6.233464851369675,-2.24205575136278,0.7439376566092538
68.597,-5.733077203726569,-2.2543716166695407,0.7408231740156634
69.043,-5.232913099762126,-2.254987418091179,0.7360658884860978
69.487,-4.735390868820857,-2.197153291209276,0.7377266189440049
70.105,-4.267748656370861,-2.019869057127872,0.744199074275805
72.722,-4.194215247292346,-1.5249892093718924,0.7416011587231778
73.22,-4.2243615609289185,-1.0258288557923632,0.7364162824346516
73.699,-4.24326743488462,-0.5255528033920348,0.7376855095002647
74.308,-4.249058348626284,-0.025253152551709294,0.7438821535939962
76.018,-4.252093249567489,0.4750306384330648,0.7400546270823447
76.508,-4.251987951691743,0.9758864966604659,0.7343904560696898
76.978,-4.25208159083259,1.4764516919270592,0.7363457444828215
77.587,-4.252104240942286,1.9766107109975986,0.7435965075630634
81.268,-3.7623042389594064,1.8745763815463032,0.7445353911925532
81.777,-3.27230789356367,1.771762857097271,0.7407257511323588
82.217,-2.7721606439449564,1.7494969528319455,0.7385940042772231
82.792,-2.2717539722621622,1.7535953210743023,0.7438149703424541
85.141,-1.8798260494299315,1.4424344351822185,0.7437473008547973
85.645,-1.478146676138652,1.1444818408788109,0.7390400994837228
86.125,-1.0015965635760695,0.9927202969853669,0.7393034144421468
86.761,-0.5013359838368017,0.9933356358284949,0.7433282811392738
88.542,-0.0013721974757565443,1.002598307275917,0.7396975874200052
89.031,0.4995712928823373,1.00282941180704,0.7348079831838367
89.503,0.9997103808344592,1.002989911457085,0.736776697194245
90.142,1.4999697651986776,1.002560999261749,0.7443369168597482
92.019,2.0000824061992204,1.0003291821789817,0.7390486733174483
92.509,2.500875402998316,1.0011177959279918,0.734571686253417
92.982,3.001668284687128,1.00177827367193,0.7368968171092538
93.624,3.501951837006015,1.0019213276585128,0.7445354370677968
95.522,4.002782602352511,1.0003109207720233,0.738913041900158
96.011,4.502781584515912,1.0011509028259298,0.7345049142097622
96.484,5.003766030279315,1.001811623209709,0.7368338374727323
97.128,5.503862350602409,1.0019379410882416,0.7445356366672116
99.579,5.884925891270639,1.3257956951560874,0.74263618468536
100.045,6.220252859588699,1.6968179391484095,0.7392898717681498
100.508,6.636686054909283,1.9752530653152733,0.7411407030599022
101.043,7.1332582320428894,2.035480888292949,0.7409232319721354
102.893,7.6325573851359065,1.9989055150038755,0.7425805798864331
103.396,8.132534357489781,1.9990576391346704,0.7351610799494964
103.869,8.632560647368981,2.0000506298232237,0.7365767313622897
104.407,9.132740923051598,2.0007962993492328,0.7414722299739334
106.391,9.633527460966823,2.000070275544361,0.7418085511942545
106.897,10.134422586508606,2.000967033950415,0.7345571077436446
107.372,10.63515637131895,2.0017370998759496,0.7363810700721255
107.912,11.135604657010848,2.0020291558428966,0.7415484549784723
110.553,11.564709488942608,2.260141151680088,0.7469821219159436
111.07,12.016404365370002,2.47669795501495,0.7424700873620356
111.544,12.506125955879416,2.5788371605624443,0.7411227339357254
112.175,12.981297862461549,2.735758701639813,0.7447823488709893
115.21,12.859467108137588,3.2210141875118987,0.7449776741674513
115.721,12.761423110637038,3.7116850850019136,0.7409314250422749
116.161,12.742312109504553,4.211571919171576,0.7388484022632126
116.721,12.748307862490186,4.711540350064581,0.7435552651404802
118.444,12.74759053541253,5.211974605834953,0.7399564036949764
118.935,12.748143507995847,5.712938665908203,0.7341606561046382
119.405,12.748137625545342,6.2130385745189916,0.7362365349755744
120.001,12.748012055742649,6.713225032475439,0.7432121680326385
122.628,12.449619227416079,7.114751881311669,0.7458775877856263
123.132,12.25350493352602,7.575515602757908,0.7403346311338361
123.587,12.217379792788735,8.07471377013291,0.738856467980274
124.082,12.237254338890427,8.574883946203734,0.7407670376905806
125.786,12.247003344772521,9.075345126644013,0.7434520501886367
126.305,12.248378553977071,9.575432862819083,0.734522429160899
126.778,12.24854884922831,10.076378674119784,0.7356649207951879
127.29,12.248290806686377,10.576523145349674,0.74009087504226
129.283,12.249988785262222,11.076961241372596,0.7430730730693962
129.803,12.249193937323232,11.577558016953716,0.7346714559797329
130.279,12.248367826160813,12.077568350393289,0.7359288319087943
130.794,12.247999804859177,12.578277024852586,0.7401441945144406
132.786,12.249866264034736,13.078435024356217,0.7429976729830944
133.305,12.249155994310424,13.579400527069621,0.7347323834737205
133.781,12.2483660685794,14.079583529764845,0.7360914966329647
134.296,12.248005561667378,14.579939093607555,0.7403422703101489
136.287,12.249869433476213,15.080537671933497,0.7429464391867204
136.805,12.249153958791718,15.580753541301133,0.7347156922377504
137.282,12.248362360576545,16.081811388912012,0.7361382792317929
137.798,12.248009294493274,16.582108023508695,0.7404039318836455
140.17,12.375992927587337,17.065827512391362,0.747103266837806
140.708,12.490498073064412,17.55316729474872,0.74030678487754
141.157,12.512880992002609,18.053100339706713,0.738421458718093
141.634,12.504038192870714,18.553303876529725,0.7401849613193017
143.257,12.500826079499472,19.053311143905894,0.7443136153229585
143.787,12.499659706288131,19.554263668880264,0.7350117587158321
144.259,12.498391645308772,20.05530304537017,0.7356599592298724
144.762,12.497856931243025,20.55550870711794,0.7396348798566982
147.135,12.616262086198118,21.041929345246675,0.7475185703452265
147.684,12.737487387612084,21.527567794458093,0.7405344520778334
148.136,12.762823299046223,22.027460608405534,0.7385572754463061
148.606,12.754707711057481,22.527772329854834,0.7398165163757418
150.282,12.802905510402883,23.02576836587301,0.7463413419755
150.778,13.016844010532735,23.478278918346597,0.7338204221888407
151.199,13.347713042268335,23.85424539732227,0.7286469690743747
151.7,13.81291239777016,24.041317498474694,0.7301909132316547
153.779,14.311858560190267,24.002523460941767,0.7433160360548182
154.305,14.81249276864614,23.998545202594233,0.7360511288436907
154.785,15.313420386461683,23.99928479000642,0.7371366067695165
155.296,15.813828568477978,24.00026295379883,0.7405778798008181
157.647,16.299863698258008,23.880616748880986,0.7473198002139236
158.191,16.7858206618456,23.761817877182615,0.740390975655038
158.642,17.28611827561575,23.73722556856956,0.7383944211840769
159.115,17.786854544604072,23.745531141928055,0.7398987523781166
160.714,18.287104016097892,23.749189244269566,0.7444574540011325
161.251,18.787695826885322,23.750257193209247,0.7349528025933373
161.723,19.287755048643614,23.751562425294235,0.7356244294680861
162.222,19.788308749407985,23.752142784944205,0.73940914244276
164.611,20.276461034269524,23.860268647271333,0.7478133022198936
165.168,20.76068346205829,23.98713310127238,0.7407957272526001
165.621,21.26061579304184,24.01584174212554,0.7386981396772913
166.086,21.760974551693817,24.0091495190035,0.7396686831651775
167.793,22.26095131701253,24.001349525168784,0.7426565544845996
168.461,22.7609027594762,24.00098015482666,0.7354185799006198
