time,x,y,z
10.974,-17.999032791649345,-17.913406739280212,0.7412126776853382
18.968,-17.731465808965527,-17.490955470680476,0.7412935981166703
19.624,-17.360461174162637,-17.1552660449689,0.7388247594981322
20.327,-16.99951160785752,-16.809249006834317,0.7413383457308026
22.162,-16.642019425123866,-16.45910904002733,0.7415440149085052
22.787,-16.273023281836405,-16.12122425774509,0.7367393268985214
23.527,-15.917322955593951,-15.769507326133576,0.741872942729933
25.753,-15.474327456525753,-15.53700612660343,0.735686209243818
26.41,-15.100123119680715,-15.205101109884732,0.7372948691029351
28.692,-15.033415608882208,-14.70914079940633,0.7433904237759574
29.331,-14.880180012789289,-14.23246416925217,0.7357247994529365
29.932,-14.724365365942553,-13.756811221629055,0.7380206836205009
31.637,-14.608081478338361,-13.270379312729634,0.7443428799177403
32.42,-14.53059460189026,-12.776319621811803,0.7385565937141835
33.121,-14.430234427646251,-12.285869646580291,0.7402389373831064
35.025,-14.321381339452584,-11.797732258176291,0.7446039696334638
35.738,-14.240176735168186,-11.303887628079247,0.7373152657169515
36.503,-14.116218219811802,-10.819224135974453,0.7411311207252993
38.356,-13.969342072730157,-10.341143273191042,0.7389520275933236
39.017,-13.85037029139145,-9.854939831081055,0.736979169161865
40.883,-13.794410303691997,-9.357876685369048,0.7471888869525427
41.627,-13.644953050585185,-8.880436018450107,0.7371903291081905
42.361,-13.542764032283891,-8.390942963558649,0.7399222151797709
44.332,-13.458716880602207,-7.897839302732671,0.7398126840160013
44.972,-13.264250554199952,-7.437153640985464,0.736679561637856
45.936,-13.084734909155626,-6.9706013377166975,0.7493792307981647
47.38,-13.044925525333722,-6.471530959273275,0.7388527195189211
48.025,-12.945412752569164,-5.981265198237687,0.7378520880673111
49.841,-12.848434681312874,-5.49054207442219,0.7452326361291769
50.629,-12.73196543572758,-5.003988181334823,0.7395363844548919
51.319,-12.53152102034954,-4.545379437084467,0.740462303002927
53.86,-12.031058691105606,-4.535383211913956,0.7372293487193124
54.541,-11.583434874661853,-4.312270625905116,0.7378933727454159
55.447,-11.1587724952969,-4.048052708552254,0.7439842934363871
57.499,-10.658859681667995,-4.029749802237019,0.7385654832898566
58.105,-10.18273744691314,-3.8753865936495493,0.7371439358608867
59.133,-9.697062201908691,-3.7563448876917986,0.7451088059907433
60.846,-9.203492805435017,-3.6736882727526203,0.7388818411991535
61.544,-8.748520781553186,-3.465684081963906,0.7386072106805094
63.787,-8.250870279063383,-3.4129062060041,0.7412688355322203
64.395,-7.7603487330368575,-3.3137111128081758,0.7345093523620896
65.147,-7.293661402122063,-3.133921435879722,0.7409311616520275
67.039,-6.868052736272585,-2.870467917285031,0.7409479524649997
67.632,-6.450091241187823,-2.5951197565954374,0.7371287661849655
68.334,-6.01404437327947,-2.349870874868957,0.741449231784679
70.898,-5.818012432227308,-1.8893830852226352,0.7383573655968082
71.547,-5.5501217519082635,-1.4671398792075518,0.7383204719793682
72.285,-5.347345646263834,-1.0098217973043224,0.7426518583643847
74.062,-5.250960389665948,-0.5190483705598409,0.740357489847028
74.731,-5.110331171672869,-0.03868598527902506,0.738013657875875
75.507,-5.018225191658587,0.4528248258614401,0.7421280590030122
78.121,-4.958189345193818,0.8319159433064021,0.4210060498919935
86.428,-4.704950794715837,1.2385188538359566,0.2754418922548492
86.781,-4.567208473842324,1.7179804099614007,0.23544163257719283
87.229,-4.266874482479533,2.1134398186615013,0.17539833566588914
